"obs","Year","Month","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY","IP","CPI","UNRATE","Stock","Interest_rate","stock_vol"
106,1984,10,0.936581221820425,2.3236594974508,0.101196176034064,8.54595431123872,3.05220667334961,1.61798381964102,10.4510366430118,6.76355311444912,7.23536997621884,1.47374050262736,6.10894641484233,0.624347880980098,0.754965271445072,0.128072306400716,3.83677657909244,2.66321282149721,0.712677186492385,0.994195591145911,-0.728006516590398,19.3154939272183,4.60410750359118,8.6221676863364,0.366506490077192,2.70832171110901,3.99477957613499,0.687337942096463,-1.0400081932897,7.26395877900466,4.40394091240051,0.614152354546598,13.3937866674811,11.1232738756326,5.64873212350624,-0.395022154313912,15.3786772505268,0.217593309674474,-3.53614565385867,-1.06040691133762,5.10182447197171,5.25735898461873,2.52748104603696,8.22854688120169,2.3565621216556,3.52712824129563,-0.579264516325267,4.25234896050223,7.73841526216871,5.00497299337655,1.7643455740286,-7.24789008715256,-2.35071418413045,5.39279148351919,4.17739222456373,-1.4,-1.76704161128863,0.509354838709678,3.33990443239801
107,1984,11,0.0626046012013222,0.613167449666942,0.73029018754986,8.76358470223707,3.1332791172295,2.04295037714155,10.5478308084236,5.67826102299626,6.95395169284743,1.20314872849069,5.85838599290314,0.58486625730934,0.938754621830589,0.34891598931182,3.79652311754353,3.59594325224935,0.616263432856576,0.54893807105041,-2.03405395997103,19.7487563211527,4.85679909841629,8.10488197503778,1.25567209621908,3.08285724874224,4.3259824590017,0.684004479257887,-1.24393208251884,7.37631295942746,3.6462873009425,-0.0687514206592391,13.7643472429022,11.6890746779423,5.08701588954216,-0.655094181381726,14.9291341302777,-0.202044565910562,-3.84831675037975,1.06462990454741,4.04840610786963,6.28526778403243,3.11525034968081,7.48281696228574,3.55578301742754,3.09554191654941,-0.494420843633143,4.32268529488396,6.86985969007319,4.60423316875672,0.916688856597707,-8.25342051876816,-2.95323703314478,5.28518063051167,4.07032931135042,-1.3,0.531508826748536,0.0856666666666666,3.27314845661925
108,1984,12,-0.955007060489415,-0.727032559573134,1.22347335607478,8.34374343620242,3.12635702311117,2.2273412956182,11.3335333475434,4.81634917108424,6.99190772785166,2.02788853620209,5.74981643302382,0.762922558942492,1.13768947147427,0.400484704631793,3.53579729138117,4.48033543457932,0.958943090113287,0.60638079018903,-3.15479664949455,20.1906708342419,5.38642127451089,8.12729054261387,1.91793406491523,3.15156863860609,4.90043140306707,1.01974615333691,-1.40107450928769,6.87604682612392,3.06367901626539,-0.795734297715484,14.1414908850733,12.4067573347682,4.29780145248865,-0.696672870987187,14.851982704064,-0.457209522284807,-3.6813208135686,2.50398227508897,3.77118835625604,7.60788458856138,3.4032894210823,6.4712418657241,4.61900330902842,2.97053319373236,0.13789445966679,4.79091826146089,5.99052693112786,4.72455629856767,0.215142659951671,-8.40971955709889,-3.52487130463521,4.82912124066892,3.96378617590383,-1,-0.184923327427541,-1.08967741935484,3.21645409484577
109,1985,1,-1.85798290277887,-0.790447984296136,1.59816078079354,7.06630364166811,3.23419838153526,2.03972481295732,12.3009984620237,4.07255269296046,7.30822648376948,2.27285929572088,5.67248989822724,0.85132051727387,1.32469650594667,0.503806171538482,3.57219050499926,5.03395178459737,1.65355281436514,0.986386287246922,-3.54933468710453,20.6367210705697,6.0195456020495,8.55291266161665,2.05276244346096,3.09338179614819,5.53947554771728,1.74124895575522,-1.49461142056606,6.34943923779699,2.61186669698868,-1.30285387576938,14.3015772285235,12.8171082926649,3.5359881254301,-0.500576854672093,15.4118669590467,-0.219486249341172,-3.17485584071378,2.6954484014888,4.01704961098483,8.81942919339909,3.28263522664198,5.1806689402917,5.53728601183408,3.17734575128266,0.787249111272775,5.27903913611949,5.30370345302319,4.87442442350597,-0.000247723493331632,-7.54020150643845,-3.61828875005115,2.82059800637099,3.46521677055722,-0.7,2.92898129163786,-1.20935483870968,3.15968447542602
110,1985,2,-2.34993956632648,0.33746868214913,1.7321270503385,5.35160071963912,3.44897559024555,1.4206072402235,13.0872471725645,3.56653978962556,7.65882537058152,2.05176493662819,4.95826594774142,0.599602940885576,1.42166213549481,0.832415877635381,3.64768365659027,5.14963161666592,2.4155906918451,1.44659004421826,-3.10597221618101,21.1007818762975,6.25855729613195,9.17118699568353,1.91175970593191,3.24370787610008,6.02626837993475,2.72211841664201,-1.46101136351749,6.28756595844166,2.25218809780103,-1.53696946328794,14.3314455816935,13.0704736689867,3.09059584041812,-0.114587425035057,16.1702111524313,0.35590142119169,-2.79571351845583,2.08285463970551,4.14317767782006,9.66408449758602,2.8845064670871,3.73558847221053,6.26396706435455,3.19520238889574,1.05609676840875,5.43276148438252,4.92345281648409,4.39090830923582,0.355207473898709,-5.74574137375432,-3.16684910822143,2.66171112756012,3.54273526112332,-0.6,14.4896602972219,-1.08615763546798,3.12601596058732
111,1985,3,-2.37875311277098,1.23201071674062,1.45576811384321,3.79970813482295,3.59818211455954,0.802296011847369,13.7194413575941,3.43275656342908,7.91625408342515,1.79222764295724,2.96774989065201,0.0352240456289766,1.26443295583184,1.3899431023718,3.31254217171953,4.78791178729206,2.64064086208884,2.00539031395514,-2.3923479567506,21.8489731981379,5.84154713044409,9.81508462280574,2.02600950795585,3.29189067540583,6.15249606198644,4.1097036396577,-1.22515304493886,6.50952436243548,2.0038507137436,-1.40458919283374,14.6672435477564,13.1840594681466,3.21610418764468,0.342162837900996,16.5744761829035,0.837851814857542,-2.83003077463006,1.42628479897097,4.15589136473234,10.2202915260023,2.40368368660168,2.34518910117245,6.37237263502981,2.79467574242786,1.08239721883133,5.31934132849176,4.87334388588698,3.48427633462668,0.974339930251322,-3.44865202924784,-2.39368044452389,2.32611579077332,3.72002836860905,-0.6,13.650811431374,-1.3358064516129,3.41112295973373
112,1985,4,-2.16711172775558,1.2708346958399,0.997668720737115,2.73720590188727,3.5189206408513,0.359245599356914,14.0823986316866,3.54849375194674,8.11655680540071,1.03852120449151,1.62268496101929,-0.666852990954731,0.955480812277249,2.00917846505075,2.58396666137807,4.22180977637865,1.78951063875718,2.54684147028008,-2.11954346019279,22.8763837372522,5.08582753339709,10.26305591024,2.33883985891411,2.4181549347344,5.85590897528966,5.95978298864017,-0.845364150222081,6.58704297749968,1.92524461472731,-0.973559186148075,15.3335753203307,13.1906125455998,3.93021601890805,0.584727525298041,16.3519822121893,0.977167159881988,-3.29510702722706,0.926551056856355,4.39727739838819,10.6974229893215,2.16633240323289,1.1821015826156,6.29479332163932,2.32771973714868,0.906673766690006,5.33417687000094,5.02776142196534,2.75688297394876,1.15833001022914,-1.18803924430479,-1.63914790848617,1.53793742811434,3.51914583363133,-0.4,14.3534627129686,-2.02366666666667,3.33546810741497
113,1985,5,-2.04724726737463,1.11765487344894,0.910064251860112,2.24185521804522,3.54374050483889,0.0861300552385659,14.0355534073265,3.78052597387376,8.24944818314484,0.119047895661591,2.834423670241,-1.26250446199018,0.87220844324626,2.59240637926839,2.07582148460829,3.82876111145404,0.0062114520091069,2.90143786406924,-2.46095910991001,23.600080117501,4.54090659238271,10.4084368755956,2.55436783967032,-0.173655485135604,5.51120790590543,7.74210263482218,-0.452201606585667,6.61489821824325,2.01894511206559,-0.473655532280023,15.8870234993354,13.1095740356122,4.78783399346028,0.545138794617857,15.6119789983317,0.81499549376403,-3.96138006015904,0.508908355886041,4.91126273913555,11.1402298163169,2.55840787952718,0.293321322616362,7.48666598960099,1.98184090156687,0.477286789542395,5.13542602806692,5.11479479992783,2.44627318117026,0.832761310157367,0.656011916035381,-1.16104958268891,1.15150315780503,3.5124635931278,-0.2,17.2258622921565,-2.34838709677419,3.26893223462925
114,1985,6,-2.32750544326961,1.40804380554694,1.54957807855763,2.13887597578355,4.07814720059929,0.0126814114418342,13.774254166475,4.01869431920181,8.15481627889835,-0.807410446873054,4.97481225205613,-1.5655359471934,1.11959876346356,3.00333762521028,2.30439721816052,3.73592592599421,-1.82582277294617,2.8050424472762,-2.94898372747225,24.0530321235355,4.43752380625885,10.4161024824839,2.89972712676843,-3.97714418160527,5.2867998824469,8.6173766657988,-0.0110233333647236,6.92212237562476,2.19869712211241,-0.0133453198071669,16.2222966824086,12.9047765282378,5.11190505380619,0.545415982241383,15.1055670685138,0.670304434046371,-4.42626968147605,0.271738416388297,5.50725294486162,11.528104620765,3.56782092567757,-0.343172326995948,9.73996959030754,1.60998141228978,-0.0672403733204339,4.62583791306372,5.14703552579141,2.37011205438821,0.488190543731665,1.86738568770397,-0.995383692863416,0.748024296007204,3.59887323322358,0.2,21.5703845721053,-3.52833333333333,3.23536473256095
115,1985,7,-3.19931710251153,2.1283287676377,2.58149288423673,2.05112504866661,4.76761938499943,0.0148912117306783,13.8086037569804,4.25575921572419,7.79766691693909,-1.47296299953789,6.45128271576124,-1.46172285524822,1.20356225798022,2.88200856014993,2.9340115305069,3.65435194082523,-1.92603417952618,2.341473369123,-3.15216676960254,24.388086143155,4.67285844162319,10.6419572375283,3.71827318774326,-5.09775136089292,5.31458274131621,8.422701015929,0.571271822983399,7.63999392802917,2.27838135844889,0.270637926058414,16.6967513432755,12.87840626934,4.5604185399616,0.940370320939905,15.402607408471,1.09605171502234,-4.41655682488576,0.558386607557335,5.80902910328961,12.0214855176617,4.4039551862158,-0.735879223190391,10.4561386742278,0.899248510113773,-0.401883200150814,4.25549478939176,5.39779055989101,2.48844483027643,0.537668147600454,2.40224711157843,-1.08439998052197,-0.0483000858773507,3.39976085414198,-0.0999999999999996,24.8304664526828,-3.35032258064516,3.24337407710841
116,1985,8,-4.51395203975748,2.99226212453864,3.26683166366777,1.89028736955782,5.2627552231729,-0.381300279486355,14.5678784773437,4.69658370648855,7.5492267618459,-0.848464340620872,6.69183377966459,-0.859772414513358,0.861460813595311,2.1385484958877,3.92234792468587,3.54057222134175,-0.284581430451509,2.26402085505858,-3.12998436357418,24.5355964750026,5.03574698800301,11.3686942903027,4.67945965149835,-2.35179833812319,5.40353929106099,7.65085542470441,1.327396249767,8.30123283947268,2.13146140993958,0.392127434897371,17.6781981029114,13.4919931161992,3.53682014912188,1.74572307028136,15.9565252213666,2.02022101982271,-4.10435766174993,0.880685100784656,5.47297627619966,12.7700639766229,4.81649592480795,-0.900984481849173,9.1572012223192,0.54333590377437,-0.382329872364402,4.39650086010449,5.93387456603979,2.61780026539327,0.766707667025669,2.40157177248208,-1.35200112052625,0.163079862801595,3.29751968155506,-0.4,14.7892319921298,-3.73870967741935,3.23055574822245
117,1985,9,-5.81270886113794,3.85049088979014,3.38457705816985,1.93261393295066,5.40304532358916,-1.34623277217959,15.9854152696869,5.35997431779496,7.63562594464667,0.451726735274811,6.24070775514948,0.147886008185654,0.368067332131883,1.18442795298998,4.66500148562729,3.71989789278246,1.05271613599343,2.73300976066583,-3.1375154501547,24.8951465757736,5.18692016629081,12.5015391912375,5.46017058526363,0.548661842669997,5.33891707157302,6.7351439910283,2.28690289125193,8.36967606494727,1.75496429994659,0.544309052460456,19.0293141279485,14.5665615683321,2.72555614986709,2.60081820042931,15.6021376736468,2.8192949805651,-3.84512179986172,0.207307699462181,5.30860802488401,13.7736183147944,4.97374763743531,-0.882674427927958,7.42831979698377,0.676646459566101,-0.0907294109517053,5.05306409950898,6.69772010240371,2.14438120451963,1.11247552071338,1.99767937856328,-1.54878443130689,0.810462551120772,3.19576067686713,-0.2,10.8173073446985,-3.38133333333333,3.36864250901399
118,1985,10,-6.5809578112474,5.09201512025813,3.17398516301294,2.09385156614148,5.22314981603827,-1.67059467911067,17.3954284176001,5.9810910988177,7.96954216231249,1.77812572240825,6.09466909381246,1.17521611522618,0.028132553215435,0.594089528014423,4.62294854023552,3.78942926365831,1.43101628029875,3.34291212619682,-3.1600368396447,25.6269691574292,5.26667220497412,13.7312144306141,5.89837890056247,1.90278334345704,5.51979964084815,5.98014202217031,3.4292419927061,7.65718354782977,1.20728413123969,0.794827014991179,20.1106640886376,15.6258716400695,2.45689346660175,3.17910030495462,15.1371983306572,3.09911580578032,-3.90233770122887,-1.46330130552253,6.03516699592962,14.9183250625684,4.7520907350876,-0.764526824832013,5.9321086410188,0.48162474572447,0.300301174878541,5.5168995792203,7.57701556001729,1.35088324295812,1.84678436677786,1.34253940577546,-1.39366918546232,0.509437418558089,3.18378950976087,-0.300000000000001,12.3340026260375,-1.99903225806452,3.32470107252138
119,1985,11,-6.57410206261683,6.61627046171278,2.87681055749217,2.14813589383526,5.16945295322477,-1.01822264517034,18.017980850624,6.34720036591116,8.49482614777227,1.81698992957103,6.0566383467305,1.83278168117213,0.00287544022223495,0.574994739830653,4.50839800373344,3.4608010059049,1.34263063310055,3.86110575485349,-3.10868384615508,26.3004961754231,5.53907422979198,14.6768951048366,5.75588132150556,2.35330568963059,5.78116481216039,5.37802607798875,4.63551398160375,6.70167445727646,0.630363172839833,1.15895810652184,20.7215677615893,16.0727498728506,2.76487148970335,3.4608835711678,15.364606497044,2.99827400929518,-4.18520013621984,-3.53862586588741,6.76654209387986,15.8363789919981,4.37568567374821,-0.634959418889991,5.06063421605846,-0.128794474599356,0.443158701425434,5.50558616979991,8.37357448403899,0.886500689849219,2.69593932081678,0.683267494654062,-0.945708533959217,0.517961506237192,3.4534463089214,-0.2,17.2112721149757,-1.375,3.26390425591641
120,1985,12,-5.97760727646121,7.60293400519445,2.72397512301264,2.28985446495108,5.27975754619793,-0.335363430389139,17.7754384974666,6.3995839290805,8.98212748093069,0.440697897845807,6.08923390931675,2.1712267377177,0.323493292285886,0.828278562267843,4.76824915582291,3.13273109058882,0.890962179607219,3.77303393810729,-2.80281166917729,26.550604784429,5.65361117157991,15.0090814991665,5.32489112858219,2.60360173350965,5.63462717233527,4.76051978547885,5.74861258974505,6.21310670082189,0.174027327058071,1.58392217720588,21.2417612875311,16.0271148302235,3.35551619368688,3.52287419932926,16.0074569205117,3.09300936312987,-4.38883197847258,-5.44880159574137,7.14605517491504,16.3551547032725,3.9862016937507,-0.506105517162492,4.87857802256427,-0.487428724425956,0.15994535793239,5.23270757874863,8.9295877106764,0.722244542944676,3.20966815951571,0.162829312163505,-0.644230602685062,1.45344096654769,3.72135963404343,-0.3,23.0656414930245,-0.107096774193547,3.27328673443931
121,1986,1,-5.11578806378688,7.17602403227578,2.72205750657066,2.70778148686647,5.16945752085355,0.253185046518637,17.413559932484,6.31746753986015,9.1562170830586,-0.0656231729073464,6.10500899845458,2.69680146289144,0.881590791970495,0.934651622559962,4.78104555294594,2.87470426401922,0.203109976701005,3.02560546049694,-2.21356797793589,26.4556668391539,5.59654511354852,14.7453644140072,5.05425181240665,2.58159125513481,5.0566359905999,4.23822041761649,6.60958910872724,6.00202121486297,-0.127627974964041,1.83141794816326,21.9002264363778,16.4475727718009,3.92623277036992,3.41742218544474,16.473505478907,3.61945530454838,-4.32086684944987,-6.3634114900868,7.31863582985045,16.6061092599368,3.65434764498694,-0.284555436028981,5.20861347764295,-0.25337563060884,-0.171481737696156,4.91183205413802,9.20681939533449,0.76278905027817,3.42524531954386,-0.404058324193796,-0.928690622467861,2.02738161285343,3.89659685333837,-0.6,19.2517218396294,-0.204193548387098,3.31959498608533
122,1986,2,-4.31401345620354,5.95339247279469,2.90035883102086,3.4279987758449,5.18032967684191,0.91786214253152,17.5168762312592,6.21901801002759,9.17039833238577,0.721121638343607,6.44152023033085,3.79236542410058,1.4471243670795,0.697147928844798,4.63286653301044,2.74612729767704,-0.0773839955568687,2.3575902883652,-1.75007341930067,26.2496873870449,5.68458645036697,14.2340517003361,5.15782963195781,1.62950287332701,4.26116105290106,3.93069273826449,7.05885010059105,5.72333108741979,-0.265138421922833,1.81460925625762,22.4433367029715,17.2373968013741,4.37054423619727,3.23632014535482,16.4762014272335,4.29178328533517,-3.88033699755427,-6.4193318986854,7.39869774540955,16.6249589289302,3.41092338052793,0.0632024471217169,5.69107718660695,-0.139494524670811,-0.191216342678269,5.00305219101705,9.29580229494228,0.985420597251425,3.38291303690171,-1.15482734962765,-1.83447320126467,1.03318221027462,3.14840819332824,0,18.8261849152577,-0.641428571428571,3.26974610979987
123,1986,3,-3.81003593342971,5.52778398497812,3.51244370420969,4.37895310625263,5.4861269203859,1.66440917866458,17.9306073477184,6.06879982527749,9.19401128567528,1.61628264119676,8.1177010016205,5.16872875192734,1.83065181108874,0.230446249247472,5.02692206738395,2.89539158528944,0.427467968680951,2.18947529827709,-1.70456995097013,25.7718775138481,5.90280035043863,13.6978503204241,5.69505175866129,-0.109617985665096,3.85062464197601,3.51432115774117,6.99522030872356,5.5660271188491,-0.187695220513167,1.5466330662597,22.5662951222131,17.8039400843333,4.58741997158598,3.09411439501872,16.3974190819648,4.51284066502869,-3.13297934958075,-5.96439611104812,7.56582648029886,16.5783510883146,3.30079514384553,0.461944513395804,6.15037675635236,0.104905464100593,0.122542539536476,5.13358143608466,9.27519022218723,1.1918722527431,3.03810051835682,-1.81465703527409,-2.99249616865039,0.198619939868272,2.13069663129306,0,25.3946597800472,-1.09838709677419,3.20542050671719
