"","V1"
"180",91.4207528728401
"181",91.9955507451219
"182",91.934655752526
"183",91.7776281513011
"184",92.0951017507735
"185",92.0679695705207
"186",91.691709984806
"187",91.6828162075454
"188",91.4314046647456
"189",91.5527284073462
"190",92.2422590660724
"191",91.2279982051772
"192",91.2602911925061
"193",91.2632742216769
"194",91.2460910916597
"195",91.4068389615777
"196",91.6277393570847
"197",91.5227247435653
"198",91.2280349831463
"199",91.325121689463
"200",91.324841541184
"201",91.5601205649327
"202",91.383099980401
"203",91.5621979476246
"204",91.5694308268445
"205",91.3823545745186
"206",91.1431073216719
"207",91.2025842008181
"208",91.3592668008142
"209",91.8457681612386
"210",91.6850841087626
"211",92.0781753805404
"212",91.6301039775988
"213",91.9030214424548
"214",91.8310189227009
"215",91.517396588575
"216",91.1892649866727
"217",90.9053839625156
"218",91.0560183568653
"219",90.94341360779
"220",91.2054754431198
"221",91.2401488113287
"222",91.3901606203748
"223",90.7682420702176
"224",91.1046556263702
"225",92.2550813501503
"226",91.6530566054729
"227",91.4181991461039
"228",91.3233857334587
"229",91.5758515918136
"230",92.2508866914936
"231",92.6306778367112
"232",92.6486165887056
"233",92.6054589202701
"234",92.3599746377985
"235",92.0907206329044
"236",91.9341933832557
"237",91.9756461100489
"238",91.636447211458
"239",91.2543794016449
"240",91.074357657438
"241",90.4744269933031
"242",90.2313075469955
"243",89.6570017853278
"244",89.3453175867972
"245",89.18298190139
"246",89.0860629545837
"247",88.871678787725
"248",89.0996789156433
"249",89.237754120297
"250",88.8844855056146
"251",88.3636875584099
"252",88.9744589844444
"253",88.4918389000373
"254",88.3761519293895
"255",89.0500427079584
"256",88.815715877286
"257",88.9476438316195
"258",88.931321101756
"259",88.3117857722641
"260",88.5863938690534
"261",90.4072606421962
"262",91.106162158992
"263",92.8550436552647
"264",93.2997722688542
"265",93.9795665680482
"266",94.3460239734572
"267",94.906228533634
"268",94.7829782484825
"269",94.817076059686
"270",94.7991370034347
"271",94.4193433514082
"272",93.970570046465
"273",93.8493379191502
"274",94.1618139785106
"275",93.8205423800649
"276",94.9113150994686
"277",94.9201627514015
"278",94.7061814801695
"279",94.6207258930244
"280",94.3820914891698
"281",93.7980933551078
"282",93.4608738906207
"283",93.2684463978366
"284",93.6207956932904
"285",92.8947561492093
"286",92.3745951332031
"287",91.5807709512486
"288",91.8894622153527
"289",91.6157318195683
"290",91.6713667515113
"291",91.1034827803467
"292",89.694193465522
"293",90.9923701783556
"294",92.3632530620772
"295",93.2082742332778
"296",93.2341981972495
"297",93.2608127386639
"298",93.4705534374253
"299",93.426439751933
"300",93.2892801298658
"301",92.6099768610585
"302",92.3824926251397
"303",93.5652203884653
"304",93.8087975727584
"305",93.4021951530924
"306",93.0472411031891
"307",93.0084298706857
"308",93.0891854910377
"309",93.0171279377333
"310",93.0287756439316
"311",93.4273738391604
"312",93.3427831566513
"313",93.3671175971458
"314",93.0287132539966
"315",92.9349021503903
"316",92.5768664091245
"317",91.9890595502004
"318",92.5503428329849
"319",92.9373191093754
"320",93.1459552407598
"321",93.3082370231056
"322",93.5259752613028
"323",92.637601388498
"324",92.5968998312179
"325",93.4147894224159
"326",93.59074873494
"327",93.3702665379637
"328",92.7756498536477
"329",93.3982638019738
"330",92.7529840326384
"331",93.2985742306031
"332",92.6739242792032
"333",92.789228949342
"334",93.3576410258615
"335",93.7332414377198
"336",93.1815502922136
"337",93.2496303766214
"338",92.921882768873
"339",92.7307156397746
"340",92.5495866232793
"341",92.6839095800944
"342",92.9739472162199
"343",92.9083247257783
"344",92.2422362644895
"345",91.2693561519636
"346",90.312665828607
"347",90.3717821678175
"348",91.2208172895945
"349",91.2112180992565
"350",91.1920388415092
"351",91.2397211011465
"352",92.0606380432045
"353",91.4187356085442
"354",91.442106718467
"355",91.9670573365613
"356",91.9018829154637
"357",92.2287390981456
"358",92.033228910342
"359",91.953722454995
"360",91.259330983499
"361",91.3762279364678
"362",90.6133177936302
"363",90.2627529041395
"364",90.3022576965458
"365",90.5564973886175
"366",90.2833522770921
"367",89.6482500160926
"368",90.1548291955388
"369",89.7266584639799
"370",90.4331533241542
"371",90.9450187774649
"372",91.28334750105
"373",90.662345905713
"374",90.5837995257321
"375",90.8188625799681
"376",91.5264318890464
"377",91.9937936105612
"378",92.078411625439
"379",92.6241696868037
"380",92.6449869682673
"381",92.4736053076537
"382",92.9330685751624
"383",92.9527944698536
"384",93.0791784278878
"385",93.6817619146037
"386",94.4537069803801
"387",94.7031846383204
"388",94.500245240648
"389",94.4156251702281
"390",94.3618922127289
"391",94.0799011042196
"392",94.3678826774616
"393",94.0068393016217
"394",93.8776036234554
"395",94.3763491063328
"396",93.9845404777318
"397",93.9717983597008
"398",93.93259274807
"399",93.7338293893272
"400",93.4330649320714
"401",93.2175880394052
"402",93.3856553054237
"403",93.1312378735868
"404",92.257777381911
"405",92.5077703115745
"406",92.5928809020269
"407",92.5928972863461
"408",93.2270144094099
"409",93.3103094900199
"410",93.6147408746366
"411",93.2088464101859
"412",95.9374863984683
"413",90.7736943105705
"414",94.5253644672193
"415",95.5035433682932
"416",96.0989182399379
"417",96.188715958604
"418",96.0823643674527
"419",96.3977089162082
"420",96.0203734724665
"421",96.2903234883501
"422",96.6560501757706
"423",97.0357915494096
"424",96.8383402739818
"425",96.8649264910242
"426",96.501614864864
"427",96.6639147441173
"428",96.1766655668782
"429",96.1160255416911
"430",96.0349145598407
"431",96.3116952481853
"432",96.3390015580763
