dep,horizon,point_linear,point_high,point_low,se_linear,se_high,se_low
CPI (PCE),12,0.1934536878705156,0.38731384207420977,-0.21655063823834014,0.14395941588418545,0.18091691377115585,0.24850548929697258
CPI (PCE),13,0.14387192315620254,0.30703772831847026,-0.07776533391897965,0.16023739595740005,0.20867966530257367,0.3117680577702987
CPI (PCE),14,0.055501782722994455,0.3494995235114248,-0.04845606873457638,0.17840315278497873,0.16678894283057508,0.25866693691073994
CPI (PCE),15,0.12449760255724533,0.05423745836746462,0.17325868371773098,0.19562200280917366,0.23090161388855335,0.3157180116020111
CPI (PCE),16,0.13771274268158307,0.27390949480458915,0.20812740724717843,0.22996938759594227,0.23678365018919637,0.2809156164088693
CPI (PCE),17,0.11208639288238507,0.17447274974131055,0.18034720258691297,0.2030064808550466,0.2681560259191377,0.20678563963865773
CPI (PCE),18,-0.0024080411018314795,0.27021847179524044,0.10297911565603023,0.18708634812273994,0.31502838307042413,0.20753926027969255
CPI (PCE),19,0.025600752702049798,0.3333241494034958,0.06029589391856779,0.17224987864360708,0.3211662111869254,0.1266590483717983
CPI (PCE),20,-0.0805336501992173,0.2626744225394982,0.007479250757436135,0.1792327278701172,0.23580072745975272,0.16033764532219727
FFR,0,-1,-1,-1,0,0,0
FFR,1,-1.3391414103121049,-1.0377395476544446,-1.4002298357906935,0.1052394061138232,0.16099137617743622,0.228929248856577
FFR,2,-1.0779445921711177,-0.7265883826411778,-1.1969337762350392,0.16820311038030686,0.297832479237967,0.29507393270366056
FFR,3,-0.8489990210102214,-0.8573335185643387,-0.8898065353124057,0.20938580772064028,0.3649414301057411,0.3480923293442188
FFR,4,-0.7388767005531253,-0.7833469853435364,-0.7544956399858179,0.19873600751422513,0.3853643085058374,0.3310036863021546
FFR,5,-0.6814937926980792,-0.7509972220626692,-0.8241144473124232,0.18409598592873933,0.4240381998524095,0.28238251402614073
FFR,6,-0.5136929390759433,-0.28838868515979665,-0.8094998848079707,0.25450479102469614,0.47775079340367066,0.26211881167290274
FFR,7,-0.3977821203821811,-0.24919019630233552,-0.6121324408851933,0.2886112254559683,0.33491816974666605,0.27550023857639
FFR,8,-0.24780852614246057,0.18184974798920983,-0.3519395230805808,0.22101673996140775,0.33481168207431894,0.27239544330154647
FFR,9,-0.299216057239821,-0.026891452430484252,-0.19689096154384397,0.18847607402545286,0.31502089981657583,0.2660987811087181
FFR,10,-0.23792584637863992,0.11158573979727945,-0.14566531972806465,0.19155014596109068,0.3019213969559461,0.2586343687190249
FFR,11,0.0051030128372891274,0.19715289247595488,0.0385930267781713,0.16121345956644723,0.2990881218204256,0.27332985996428455
FFR,12,0.09519679126277776,0.2883733450065461,-0.0014029754704322074,0.17485820623457937,0.2837280579958868,0.3262331727527975
FFR,13,0.1429169802487531,0.4746629592451052,0.02256957946074169,0.2004047992721979,0.23143580470724684,0.2570540869346901
FFR,14,0.13473836631923125,0.4339619525304674,0.07937749259877139,0.22040815176099346,0.2682955261218774,0.26305728641672593
FFR,15,0.11571742151503735,0.39879500171746124,0.1810482708098317,0.25990396924794334,0.33615280372153505,0.257043892740404
FFR,16,0.12627796593407892,0.34007109852100137,0.2241229515772572,0.26692938416144524,0.38789545796619196,0.22344500458591607
FFR,17,0.24211984428951477,0.39015575338030634,0.3613936037382089,0.26284190732455986,0.3728906159297162,0.18082616602403193
FFR,18,0.25001745340813814,0.2822947190839114,0.34906311739168083,0.20863416243576235,0.3973344173197569,0.13455700578374746
FFR,19,0.12417894889167817,0.3977336489558986,0.12169672338065794,0.1294090280979876,0.3564000531610821,0.1249785822032991
FFR,20,-0.013421930147032574,0.40117358063136777,8.358656355325026e-4,0.15754901914675773,0.3563955320871437,0.10720973134965105
