horizon,spec,point,se,ci_low,ci_high,dep
9,high,0.13249363358446598,0.27278421555411636,-0.13877877998851368,0.40376604715744563,CPI (PCE)
9,low,-0.06564357016021723,0.16998134814853175,-0.23468286182514625,0.10339572150471181,CPI (PCE)
10,high,0.5565469227697571,0.2857258986266849,0.27240455044325945,0.8406892950962548,CPI (PCE)
10,low,0.13584312419070374,0.21432963255364348,-0.07729866850771683,0.3489849168891243,CPI (PCE)
11,high,0.5420748518582563,0.16845321282971773,0.37455522640773314,0.7095944773087794,CPI (PCE)
11,low,0.041019051117540097,0.26355392883440304,-0.22107423106273436,0.30311233329781456,CPI (PCE)
12,high,0.38731384207420977,0.18091691377115585,0.20739959096850463,0.567228093179915,CPI (PCE)
12,low,-0.21655063823834014,0.24850548929697258,-0.4636788810906115,0.030577604613931247,CPI (PCE)
13,high,0.30703772831847026,0.20867966530257367,0.09951459009275301,0.5145608665441875,CPI (PCE)
13,low,-0.07776533391897965,0.3117680577702987,-0.387805536701647,0.2322748688636877,CPI (PCE)
14,high,0.3494995235114248,0.16678894283057508,0.18363494448133855,0.5153641025415111,CPI (PCE)
14,low,-0.04845606873457638,0.25866693691073994,-0.30568944327118164,0.2087773058020289,CPI (PCE)
15,high,0.05423745836746462,0.23090161388855335,-0.17538447180986194,0.2838593885447912,CPI (PCE)
15,low,0.17325868371773098,0.3157180116020111,-0.14070958179119733,0.4872269492266593,CPI (PCE)
16,high,0.27390949480458915,0.23678365018919637,0.038438127258762195,0.5093808623504161,CPI (PCE)
16,low,0.20812740724717843,0.2809156164088693,-0.07123134200734882,0.4874861565017057,CPI (PCE)
17,high,0.17447274974131055,0.2681560259191377,-0.09219712416417492,0.441142623646796,CPI (PCE)
17,low,0.18034720258691297,0.20678563963865773,-0.025292406886321478,0.3859868120601474,CPI (PCE)
18,high,0.27021847179524044,0.31502838307042413,-0.04306398718396487,0.5835009307744458,CPI (PCE)
18,low,0.10297911565603023,0.20753926027969255,-0.10340993780463088,0.30936816911669135,CPI (PCE)
19,high,0.3333241494034958,0.3211662111869254,0.013937878868049314,0.6527104199389423,CPI (PCE)
19,low,0.06029589391856779,0.1266590483717983,-0.06566119521461253,0.18625298305174812,CPI (PCE)
20,high,0.2626744225394982,0.23580072745975272,0.028180530250552505,0.49716831482844387,CPI (PCE)
20,low,0.007479250757436135,0.16033764532219727,-0.1519697846085124,0.16692828612338467,CPI (PCE)
0,linear,-1,0,-1,-1,FFR
1,linear,-1.3391414103121049,0.1052394061138232,-1.443797567346309,-1.2344852532779007,FFR
2,linear,-1.0779445921711177,0.16820311038030686,-1.245215501269214,-0.9106736830730212,FFR
3,linear,-0.8489990210102214,0.20938580772064028,-1.0572243881302539,-0.640773653890189,FFR
4,linear,-0.7388767005531253,0.19873600751422513,-0.9365112899032793,-0.5412421112029713,FFR
5,linear,-0.6814937926980792,0.18409598592873933,-0.8645694971721859,-0.4984180882239725,FFR
6,linear,-0.5136929390759433,0.25450479102469614,-0.7667872348251032,-0.2605986433267833,FFR
7,linear,-0.3977821203821811,0.2886112254559683,-0.6847938287196962,-0.11077041204466592,FFR
8,linear,-0.24780852614246057,0.22101673996140775,-0.46760036551840267,-0.0280166867665185,FFR
9,linear,-0.299216057239821,0.18847607402545286,-0.48664757485085763,-0.11178453962878432,FFR
10,linear,-0.23792584637863992,0.19155014596109068,-0.4284143990596255,-0.04743729369765437,FFR
11,linear,0.0051030128372891274,0.16121345956644723,-0.15521698290808117,0.1654230085826594,FFR
12,linear,0.09519679126277776,0.17485820623457937,-0.07869233037111657,0.2690859128966721,FFR
13,linear,0.1429169802487531,0.2004047992721979,-0.05637715222055237,0.3422111127180586,FFR
14,linear,0.13473836631923125,0.22040815176099346,-0.0844482577231804,0.35392499036164293,FFR
15,linear,0.11571742151503735,0.25990396924794334,-0.1427461295810853,0.37418097261115996,FFR
16,linear,0.12627796593407892,0.26692938416144524,-0.139172064405595,0.3917279962737528,FFR
17,linear,0.24211984428951477,0.26284190732455986,-0.019265362487281223,0.5035050510663108,FFR
18,linear,0.25001745340813814,0.20863416243576235,0.04253956586703003,0.45749534094924627,FFR
19,linear,0.12417894889167817,0.1294090280979876,-0.004512879258878097,0.25287077704223443,FFR
20,linear,-0.013421930147032574,0.15754901914675773,-0.1700977942294902,0.14325393393542504,FFR
0,high,-1,0,-1,-1,FFR
0,low,-1,0,-1,-1,FFR
1,high,-1.0377395476544446,0.16099137617743622,-1.197838690822883,-0.8776404044860062,FFR
1,low,-1.4002298357906935,0.228929248856577,-1.627890332013404,-1.172569339567983,FFR
2,high,-0.7265883826411778,0.297832479237967,-1.0227702394952793,-0.4304065257870762,FFR
2,low,-1.1969337762350392,0.29507393270366056,-1.4903723747418987,-0.9034951777281797,FFR
3,high,-0.8573335185643387,0.3649414301057411,-1.2202524006428341,-0.4944146364858432,FFR
3,low,-0.8898065353124057,0.3480923293442188,-1.23596969631361,-0.5436433743112015,FFR
